Date,the, a, an, of, i, you, Label
"08/12/2016",144,67,10,73,29,24,1
"12/31/2012",8,4,0,0,0,1,0
"09/01/2012",0,3,0,0,0,1,0
"12/17/2015",33,19,1,12,3,8,0
"10/07/2012",5,6,1,0,6,0,0
"10/05/2014",2,2,0,0,0,0,0
"08/13/2013",3,0,0,1,0,0,1
"02/14/2014",5,5,1,2,2,5,1
"02/15/2016",32,19,2,16,8,4,0
"03/03/2010",1,0,0,0,0,0,0
"02/15/2015",2,1,0,1,0,0,0
"09/28/2009",3,2,0,2,0,0,0
"05/16/2012",0,0,0,4,0,0,0
"08/15/2012",16,0,0,13,4,4,1
"07/17/2009",0,0,0,0,0,0,1
"02/14/2015",2,1,0,0,0,1,0
"10/04/2016",992,508,77,509,162,176,0
"07/29/2010",0,0,0,0,0,0,0
"05/14/2015",37,4,1,11,1,7,1
"05/18/2010",2,0,0,0,0,0,0
"05/13/2014",9,7,0,4,0,4,0
"07/26/2016",169,74,14,87,33,17,1
"06/02/2010",0,0,0,0,0,0,1
"03/01/2013",5,0,0,10,0,4,1
"08/12/2015",15,4,0,6,2,4,1
"12/31/2011",0,0,4,0,4,0,0
"09/01/2011",0,0,0,0,0,0,0
"08/13/2014",1,1,0,0,0,0,1
"12/17/2014",24,6,0,12,5,1,1
"10/05/2013",0,1,0,1,0,0,0
"10/07/2011",36,8,0,12,8,4,0
"04/18/2009",0,1,0,0,0,0,0
"03/03/2011",1,1,0,0,0,0,1
"04/27/2016",108,56,5,51,15,14,0
"05/16/2011",1,0,0,1,0,0,0
"02/14/2016",36,13,4,17,9,4,0
"08/15/2011",1,0,0,0,0,0,0
"10/04/2015",8,4,1,3,0,3,0
"02/17/2012",23,14,4,2,0,0,0
"07/29/2011",0,0,0,1,0,0,0
"01/28/2016",61,25,1,42,9,14,1
"05/14/2014",15,9,2,6,4,5,0
"05/13/2015",26,14,1,7,3,4,1
